00:00:03 00:00:05  thank you san good
02:25:54 02:26:42  would we be able to query them and see if they got out of coms or in coms as they were executing find out where our dead spots are and so what we've done is inside of inside of l g raid being able to speak to pioneer we've got a com plan that we can down load and to show you that it may look like a lot of data but i'll show you how i did it i started at a three eleven and i was able to put almost all the com architecture made up for the e a b o and i'll show you that here in a little bit so that took me about fifteen minutes total before i just kind of stopped and said we're good enough but as i pull this up what it allows us to do is take one of those com nets assign protocols assign whether it's h f assign whether it's wireless and if i want to i can just tell it to ignore equipment
02:26:42 02:26:58  because maybe i don't have all that data on me right now you saw what we ingested from from from spud earlier it gave me the com equipment but what if i just need to run a quick war game and i just need to see hey this is roughly what i want to put in here and it allows the user to be able to say hey i'm going to make up the field
02:26:59 02:27:17  i'm going to say it's a thousand i'm going to say it's two hundred or i going to have a default setting that i want to put in there but these are all click able items if you have a link protocol you can put those in if you have a certain band you can put those in and this allows the user some custom ation of i may not have all the data so i'm just i ignore
02:27:17 02:27:30  if i don't ignore the equipment then it automatically takes everything we ingested from spud and it uses exotic tools to say o k now you're going to have to go by the specks of that radio and that equip
02:27:31 02:28:07  the other thing that this allows you to do is it allows you to create groups to see who's connected when and where so these were all the ones that i put inside of there and then i can look at the group of that so who's all talking on you know that net and i can easily select people in and off of that net if i want to if i wanted to give the el ka that net i could give the el ka that net and be able to see if they're connected inside of that system or i can quickly remove them or add them back in as the whole sag has that net they are going to talk on the e s g actual
02:28:07 02:28:20  and so that's a way that we start to put groups together and start to figure you know what are the niche ones that have certain ones so this is g s g naval fires i don't need my l h d and i don't need my l p d to have that but all the marine forces
02:28:20 02:28:26  they need to be able to call for naval gun fire and coordinate naval gun fire and they're talking to the naval ships inside of there
02:28:27 02:28:53  and so we put one of these together and were running you know a test bed with eate to be able to say he can you show us you know snap shots of the carm architecture show us the heat map show us when units lose data and find data or you lose communications and find communications and put that in there and then what i did like i was saying just you know as i was enthralled with the voice demo i quickly just put one together for what you saw me in jest earlier to day
02:28:53 02:28:58  so this was done while we were sitting here and i was listening to the voice demo if i pull up the right
02:28:59 02:29:34  a while we pulled up the voice immo i was able to come in and create this and so what i did as i had one of my guys who's pretty damned good with calms i showed him that earlier to day a hugo jerry sent me o k this is what your calm architecture would look like for that and he put it all in he gave that to me and inside of fifteen minutes i was able to load that com architecture into l g ray and then that will eventually talk to eat when we're running through and to see how easy it is is i just have to say what units i want inside of that com group
02:29:34 02:30:27  i just got to say what what com nets they're talking on and then that puts them all in a group being together so this system is designed for somebody like you now jean who was a commoner back in the day to be able to you know push his glasses up on his nose and really get into the details of i know who this belongs to i know who should be talking on that net i know how all these systems get together i know what channels they should be talking on and and i even want to go into you know some details inside of there and so what this did is were we allowed this one because spud gave us the data i don't even have to have the equipment i tell you know i don't want you to ignore equipment i want you to use that actual com frequency i want exit to have to model that appropriately coming from that ship coming from all of that data that was inside of that system
02:30:27 02:30:51  and again it allows us you know because of the ingestion because a pioneer working together we get to model all of these so these will be the systems that will be talking on that u h f or that v h f model and it will be properly modelled inside of l g raid so the war game can get to war gaming the analytic engines behind that can run and see how long we're in coms how far along we're out of coms and how that works to
02:30:51 02:31:13  much like we talked about you know when we showed you our first model of of of how we ended up running this from an amphibious demo the working model isn't there yet we're still working on the integration we're still working of how to make that hit run and see how those work together but that just shows you a stair step of where we're at with the modeling and simulations teams and some of our
02:31:13 02:31:18  so with that i will pause before you get to the truly exciting part of what oleg has to show
02:31:20 02:31:50  mar marcus you might have shown it brian cried but just wanted it it is early to visualize the members of the particular networks that you created so few can be showed but this platform is on this network can you flip around and say this network has these platforms and so that's that's what this one is ah brian so what i did here so just to kind of let you know as i chose the group so everybody who's on you know on this channel right i want to see all the users who are on that channel this shows me those user
02:31:51 02:32:14  now we're working on the visual and this is where getting feed back from the government as you know what we'll end up doing is this is just a drop down menu eventually when we have it running you may be able to select that net like you'd come over here and hit group five and it would show you all the connections between those ships or between ah those those folks who were inside of there cause that's all the ships inside of that inside of that one task organ
02:32:14 02:32:40  and so if i had them placed in different locations i didn't i just made it easy as you guys watched me drag and drop that that in there but i could just as easily say like ok i know where this guy's going to be right i'm going to give him a command to go to re supply and he's going to conduct re supply between these four points because i've assigned him that and oleg will show you some of that ah but that that is the way we would be able to do that so i could go in here and i could move this guy out and move him through a
02:32:42 02:32:55  and we're still is our train isn't fully ingested on this side of the house that's why you see that big yellow mark m but this one has a c e fifty three on it so that would be able to tell you kind of what's in that system and how he would do that and who he would be talking to
02:32:57 02:33:19  less of marcus but i've never heard anyone put exciting and a you sticks together congratulations that that's because you haven't you haven't seen ole go yet he's getting ready to in my opinion i get dirty about stuff that was always really hard for me as a planter and so when i see somebody give me an easy button like
02:33:19 02:33:20  this communication to
02:33:21 02:33:27  i guess i'm easily excited but i appreciate that in any other question
02:33:28 02:34:20  there's a factory in the little p c that loses thirteen he can't put the c in his radios and or it just perfect calm no it it's actually jean you know you mentioned that in jest but it was something we were talking to about a modelling free copying modeling those types of things and having that put in there and it's something that we're continued communications to get it as realistic as we can but a guy losing his stuff you know i guess i guess you know we we can talk to oleg about this and now he'll really kill me you know we have good models for when we end up showing i can't show it right here just as i i've got it selected in a wrong manner but you know you saw it right here jean did we give your guys a competency raiding with the their communications capability just like we do with a competency and aggressiveness of
02:34:20 02:34:38  moving units and how they ac so that's that's where we're at you know it's it's easy to a to show you when it's not working but we've got the into structure in there that's what we're goin to try to work for for the next demo to be able to show you what
02:34:39 02:34:42  so at some kind of the go ahead all
02:34:42 02:35:22  yes the next step after this now that the i works for us to actually create these is a these are a seale two eat also eat is working on adjusting these com plants so that when theyre modelling communications within the eat they are taking them into account as well as the data they are getting from velocity and then we'll be building the ah the i and communication square of the user in query eat and find out right now within this particular lay down o what's my calm capability who can talk too can i get fire support from this particular forward deploy unit or where is there a broken chain in that link somewhere
02:35:22 02:35:35  and then the next challenge of course will be to make that old work through to massive so that as we are a running an integrated scenario and all the coms a going over massive
02:35:35 02:36:00  a exotic and tract where forces are contract what their m come state might be if something goes down if something gets hacked and respond to that the challenges with that i think marcus alluded to a few times is expanding the massive data model for entity state data that we used to exchange data between the simulations to include that additional capability to the models that were in massive we
02:36:00 02:36:03  i wonder when cassy go tarring with it
02:36:03 02:36:10  were not quite designed for those kinds of use cases they weren't quite designed for logistics use cases of been able
02:36:10 02:36:19  how much stuff you are carrying ah some of the radio stuff is a little bit funky in there and so those are ah can be some of the
02:36:20 02:36:25  i wouldn't say road blocks but some of the things we need to punch our way through impassive in order to actually
02:36:26 02:36:28  in the full implementation that we
02:36:33 02:36:38  o k so with that being said i will get off the stage ole you can take the screen
02:36:39 02:36:41  are any other questions on the cans
02:36:46 02:36:51  all right then let's do something that's really not exciting and ghost logistics
02:36:52 02:37:07  matter of opinion i guess ah so this is our first time we're demonstrating logistics say demonstrating some of the supply modelling and re supply behaviors that we are working on towards the september
02:37:07 02:37:45  so what we are doing right now is we're going to show you where we are with it there's definitely still work to be done and we'll cover just like with comes cover with still up coming but we'd like to show you where we are we are using the terrain a same terrain near the cambria a that we were using before since we're still looking for the terrain from terra sin for the a mine to for the logistics that's in ti land and so in the meantime we're marking up those same kind of concepts in in the tactical environment and the same piece of terrain that your used to showing for quite a while
02:37:46 02:38:05  and so what we are doing here is that since the focus is on logistics we have a very small scenario that we put together just to for our internal testing with a mortars and an artillery unit that are deployed here we're going to have a cant unit come up to g four to block
02:38:06 02:38:29  the enemy forces coming from the north and we more importantly have now some supply components as well for the first version were not by going to supply depots and multi connect types of supplies but we've just put down four different trucks for food water fuel and ammo and so those are loaded with those
02:38:29 02:38:34  kind of supplies if we look into those we've also added the y where the
02:38:35 02:38:38  specify on both what is
02:38:38 02:38:49  well we called it the personal load out what is it that that unit needs for itself as well as what is it caring for others in which case a the food truck is carrying two thousand pounds of food water truck is carrying
02:38:50 02:39:09  water and likewise for fuel enamel and if we look at some of the other units such as the mortars we can see that that mortar unit has been loaded out with three days worth of supplies for food and water i don't think they're going to burn too much of fuel in this particular
02:39:09 02:39:21  and they're not carrying any anything for for anyone else now likewise we can look at the the cat and it's the same kind of logic in terms how much they're loaded out he is based on what they need for
02:39:22 02:39:48  the input that we're using right now i'm not coming from velocity just yet because the data that velocity would need to in just we're just getting those documents right now said we bring that up there's been a couple of really good spread sheets that we've gotten from the government and the fed in the last few few days and that the dust capture things like five point seven two pounds of food per person per day and the
02:39:48 02:39:58  over here was they in the temperate environment it is five point six gallons of water per day per person that's needed
02:39:58 02:40:16  and so until all is data with all its varieties ingested by velocity so that we can consume it to just build the conceptual model for logistics we are just entering some of the data into our system directly so for example for
02:40:16 02:40:26  the dismount in the logistics section in our data set we have defined that they need five point seven pounds a foot per day and six point nine one pounds gallons of water per day
02:40:27 02:40:55  and so that's going to be used in the logistics model that i'm about to show you as executing we likewise already had other models for example for the fuel consumption so the the one where we have some data in our system is for example for ships where that particular destroyer is using a fuel burn curve depending on speed how much is going to be able to burn in its oral fuel capacity to properly model
02:40:55 02:41:10  the consumption of that ship o we don't have that define for ground vehicles at the moment because again we're hoping that the data will be coming from velocity ah once velocity came in just that from the sources that we are trying to acquire at the same time as we're build
02:41:12 02:41:19  and so with that information we first with also the trust ability to carry the pay load
02:41:19 02:41:46  we can then execute the supply model so with these input where we have their starting food starting water for all these units d there's the data for how much they're going to be consuming per day and that's going to be paraded during the execution the last piece of input that i haven't touched on is that we've added in addition to all these missions you're used to us showing you the creep on fires
02:41:47 02:42:08  for fire support kind of assets manoeuvre or defend missions you make a basic kind of missions we've done before there is now a supply section with the re supply mission where we can specify that those four trucks that section of logistics is responsible for automatic re supply of the forward deploy
02:42:08 02:42:29  there are some barometers here in terms of where are they stationing while they're waiting for supply coals rules of engagement and this is going to be further expanded to include levels of re supply you know the ore supply fifty per cent thirty per cent what are the different kinds of additional ation you want to use
02:42:29 02:42:41  currently by default until we final lison the it is running at a fifty per cent trigger so any time there is a fifty per cent a level of supply for one of the units that'll generate
02:42:43 02:42:50  so with all those ingots the when we start executing this scenario what we will see is
02:42:52 02:42:58  the cap coming out to set up our defensive position there is a recon drone coming out forward there
02:42:59 02:43:01  indirect fire support units that are
02:43:02 02:43:12  you'll coordinate it with the rest of the defense i'm going to go ahead and actually four fast forward through that in just a second a because you've seen us do this many many times
02:43:12 02:43:14  writes is running
02:43:14 02:43:36  probably not a very good tactical defense since they're getting through pretty close to our forces but the point being that once we get past that initial engagement this is where we start looking at the supply question so one of the things we can do is we can drill down into the same units and see that they are
02:43:36 02:43:52  they're eating their food and they're drinking their water and you can see those levels of supplies dropping someone wants to get out the calculator and multiply those rates by the fourteen and a half hours that were into the simulation you should probably see that we're at about those numbers
02:43:53 02:44:00  ah and so that's going to be pretty much uneventful for quite a while because at this point
02:44:03 02:44:04  what of a men
02:44:05 02:44:12  so at this point there is not much that's going to happen the units have been loaded out with about
02:44:12 02:44:21  three days as i mentioned of supplies and so until we get to not a day and twelve hours mark they are above the fifty per cent
02:44:21 02:44:27  but we can actually see that also in our log outfit a so we brought the south might many times in the
02:44:27 02:44:55  but we are logging all kinds of other events as well for example even early on once when the batteries were firing we needed we had a re supply need for class five supplies but unfortunately we don't have any of those in the system just yet so they did not get we supplied there were some critical messages about going completely dry on them before the made of our millimeter mortars and the tone pipe fifty five millimeter how
02:44:55 02:45:11  and then later on in this in this schedule you will see that id that a day and a half because that's exactly how much food we gave them all of these units are now generating re supply requests for classes one c and one w which is food
02:45:12 02:45:14  and so if we jump ahead to that mark
02:45:15 02:45:24  it's going to slide me forward in time and it's going to kinda sum in on his units this is when the re supply starts kicking in
02:45:24 02:45:29  so at that point if i be slowed down just a little bit
02:45:30 02:45:55  we will see that supply coming out so the automatically generated of course based on the coal for supplies from these from these units and from those units the appropriate trucks were sent out there so in this case that was food and water and as they got up there we can got kind of just to confirm that things are working well we can see that we're right about that before the supplies get there
02:46:01 02:46:04  of their available supplies for food and water
02:46:04 02:46:31  and as the trucks get there and are given the appropriate time to actually execute the supply there is a certain amount of time they need for that we will now see that these units are now being topped back off on food and water to their maximum load and if we weren't to check the food and water trucks they have of course depleted their water by what they gave to the other units and depleted their
02:46:31 02:46:33  say feeding water in this
02:46:35 02:46:48  and so at this point there are other units that need to be re supplied so this is our kind of an interesting moment to us because this kicks in the rest of the kind of integrated logic of the sim that we need to get supplies
02:46:49 02:46:53  from here because that's wood the trot where the trucks and to over there
02:46:54 02:46:58  and the first time we ran it as usual we are really bad at reading maps
02:46:58 02:47:10  saying we were surprised but we were surprised that they had it south ah and the reason for that is probably more clear to you gas than it is to me who are used to reading the total maps but there is really no good way
02:47:12 02:47:19  and so it's just faster for them to get down there and take the roads to get to where they're trying to go instead of trying to get
02:47:19 02:47:20  ob these
02:47:22 02:47:32  oleg is it possible for you to show your a movement analysis too that you made just to help out me like myself
02:47:32 02:47:36  and that to help us as well because we we always get
02:47:37 02:47:44  so if we just look at the mobility analysis from that position or a cargo truck
02:47:44 02:47:49  assuming my computer is actually running a what we can do as we can visualize
02:47:49 02:48:00  the best way to do that is to just go a little bit small like you see that what this is doing is is it showing how far can i get within five minutes and you can clearly see we can go down further on the road
02:48:01 02:48:04  and as i keep pushing the time out a little bit
02:48:04 02:48:08  ah you'll see that it starts snaking down
02:48:09 02:48:15  and then it start snaking along this road and it's snaking there a hecla faster
02:48:15 02:48:28  the e than it is getting across those mountains and so as we can see as we get a little bit further down we just get there faster if we go down through the south roads and as we kind of keep going there's going to be some point where
02:48:29 02:48:38  a trade off but at this point with in most twenty two minutes if we would have taken the road we could have gotten pretty damn far north i'm giving the date of a current half for those vehicles
02:48:41 02:49:09  and what's interesting about that that analysis is that i to kind of circle back to one of the discussions we just had on this call about a master map products is if we bring up those master map products we're interesting from ants teach us services right now on this master map product there's actually some roads some trails at least that exist that couldn't maybe let us get there little bit differently
02:49:10 02:49:21  but was of course challenging with always witty simulations as when you have a dispute data piet so that this particular map is showing that perhaps you can get across those mountains
02:49:21 02:49:26  and on the other hand the data of the underlying data that is dragging over simulations
02:49:26 02:49:27  is
02:49:28 02:49:38  half that particular road in it then it's always a pretty big challenge to figure out and which of those products is right this particular and the rest of product has
02:49:38 02:50:06  yet another kind of aversion of the ground truth and so that's why we always want to provide an ability for the user to see what the underlying data driving the models are so at least the data but they can answer the question of well why am i not able to get across here as my map is showing me i can this at least are directs them back to the training data as billion son for their behavior and am using this
02:50:07 02:50:09  in the tool we can easily invest
02:50:13 02:50:14  its pretty vision
02:50:19 02:50:41  and so what's going to happen now is those trucks now that they've re successfully re supplied one side are going to get themselves back from the road get up north and re supply the other side of the of the fight and so here likewise i don't think i showed it before they got re supplied but what we'll see now is they
02:50:41 02:50:52  there still having been re supplied because i probably clicked a little too early i think we have it set to ten minutes in his tees how long it takes to actually off load the
02:50:52 02:50:57  the cargo but there's a bunch of different un stair sole fast forward a li bit
02:50:58 02:51:04  as you have a question from brian you have a question from brian is ame consumed as fired or at a given rate
02:51:05 02:51:20  as fired so if we look into the mortars for example we will see that the ame is now completely out on the one mortars i think they didn't have rifle am cause
02:51:21 02:51:27  but for example their two forties are still completely untouched since those want involved
02:51:28 02:51:32  it's the same logic for the fuel there are some
02:51:32 02:51:36  to some trucks and combes i believe this comes
02:51:40 02:51:45  are there some conies out here and so there few consumption is
02:51:46 02:51:48  based on how much they've actually travelled
02:51:49 02:51:51  just bison go
02:51:51 02:51:52  the pine robe
02:51:53 02:52:13  while we are adding to the model the the fuel that they're consuming while idling but we definitely don't want to go to just the basic model per day so that we can still keep track of if that ship had to go really fast to get somewhere else well just burning through a lot of its supplies because i have to get both engines out running
02:52:14 02:52:44  so we are using kind of a mixed approach where for some classes of supply we we would like to do it by a kind of consumption per day per hour and for others we are doing it more specifically like weapons and fuel but we certainly can combine the two we actually had that discussion yesterday so for fuel we could certainly do both and consume specifically due to movement and then have the basic consumption per day to find that also get
02:52:45 02:52:48  does it answer the question o bran
02:52:50 02:52:51  it did thank you
02:52:53 02:53:02  and so i think at this point we should be re supply dip where we supplied and we actually started already eating again and so the number is lower than the max
02:53:02 02:53:52  and so i'm trying to catch these three supply points for you just to show that the things are happening the way they should that we are decrement ing food as we are going them as we are progressing through the day and the same for the water and then as we supply trucks get there this number goes back up and the number of course that the food trucks are carrying is going down because they're off loading but another way we added just to be able to show this is to add another metric to our building metrics so again of course hi is going to be doing a lot more detailed metrics than this but to support our development we added some supply metrics here as well in addition to our pre existing inventory if you recall the inventory we do by different kinds of weapons that you have as well as overtime so we did the same for the supply
02:53:53 02:54:12  and i find this slightly humorous but out for supplies are doing better than blue for supplies because we er there are no out for remaining e they are not consuming any supplies since they've been killed so in the blue for supplies area what we can see is we can see the three different classes of supply we can see that the fuel is actually a
02:54:13 02:54:22  a bit lower percentage because we don't have anyone who can get fuel of these particular forces in the scenario but the food and the water are relatively high
02:54:23 02:54:37  and you can see that overtime as well that the green line is the the fuel that slowly been decrement ing the orange actually has a yellow overlaid on top of each other because we're consuming in the same percentage rate even though the actual
02:54:37 02:54:40  anson and gallons are different
02:54:40 02:54:50  but because they had three days worth of each of those supplies in their consuming them according to the standard supply consumption there is just then a being on top
02:54:50 02:55:08  and so as you can see they've been eating through their food up until about one day in twelve hours at which point we despatch the truck you can see the first climb up here where the first part of the supply happened for the mortars and in the second gradual climb as they were re supplying all the units within the second
02:55:09 02:55:14  we can also drill them and see that was the pre supply where then
02:55:15 02:55:43  then orders were topped off all the way to the top and then started consuming again and likewise with the count we can see that that happened a little bit later lid between them you can see that the second camp was rested a little bit after the eighty one and because of that they actually went a little bit lower to fill with fur the three supplied them but on the other hand they were re supplied more recently so their final consumption ends at if you look at this craft i believe
02:55:43 02:55:48  yet the day end up in a slightly different position from
02:55:49 02:55:50  on
02:55:51 02:56:04  and again to the more detailed analytic for the supplies something that a hit will be building up but this should allow you to see the basic of consuming re supply consuming again and then happening over and
02:56:06 02:56:20  were we were we planning to go from here is we we'd like to of course make sure that we can show you this with all the different classes of supply i think to day i didn't show you a supply of fuel although we could have done it
02:56:20 02:56:25  i think we owe to support that a supply of ama will certainly show you next time as well
02:56:26 02:56:33  and more interestingly we would be going to the more complex we supply with
02:56:33 02:56:47  making multiple levels of that so there would be a depot that gets re supplied from higher and then distribute it from there to the subordinate units a we'd like to tackle the multi cometary supplies if they
02:56:47 02:56:58  we need to move the supplies of our trucks on to shore and then load em on boats and then get the boats to the next island over get em back on the trucks and get em moved out of there
02:56:58 02:57:05  and of course just the other piece of turin is rather like to go so we can show it with an e a b o
02:57:06 02:57:14  but the quar model of the supply we supply behaviors a should be the ago and we can grow from it in future
02:57:14 02:57:33  n the last challenge i want to mention and is again for hite to be able to do analytic on this data we need to give this data to them through massive and so what we are also looking in the next few weeks over is expanding the massive data model to include these
02:57:33 02:57:44  re these fields that we have added so we can have a ability to just send out on the wire how much food does this particular unit have and how much water do they
02:57:44 02:57:50  and how much of food is this truck carrying as supplies for
02:57:51 02:57:54  also as we take dose them hive will be able to do those analytic
02:57:55 02:58:00  so let me take a little break there and there was a lot of talking i and i would well term either comments or questions
02:58:02 02:58:28  hey ole this is tiens after five so i want to be really fast here questions yes or no it is good enough don't have to plan de asking correct of things i not realize that you could improve it but just correct status one i think you were going to showing pole six right hey i i went over a level i ask for it it comes how about a push i'm going to give you what i give you when i give it to you cause i'm
02:58:29 02:58:35  just to see meshes how i work sometimes i scheduled in a replenishment is that
02:58:36 02:58:38  it doesn't do that right now or is all p
02:58:39 02:59:04  yet so currently it is all pool based we actually had an index discussion about pool versus push versus schedule logistics and we picked pool to do first because the smeath guidance was that that's the most en critical and challenging and interesting one and from just a soter perspective a harder one to implement so now that we have got working we can certainly and very easily ad
02:59:05 02:59:12  the push logistics are scheduled logistics yet we did the hard part for right so we can do the easy part
02:59:12 02:59:13  chor
02:59:14 02:59:45  gutch thinks a second one is am or so you so you show replenish right now do you have currently is there the behaviours in there for i ran out of water i ran out of fuel i ran out of ammo i ran out of something i'm now behaving the you know the way i would if i ran out of ammo or ran out of fuel or ran out of water or is it just strictly a metric that's showing whether or not i've got supplies on hand
02:59:45 03:00:10  so out of the four supply classes the weapons and the fuel will have a specific effect once you run out of the weapons and you run out of fuel you cannot shoot and you cannot move but the water and the food are only metrics as you said they are not hooked up to now i am becoming more and more combat ineffective because i haven't had water in twenty four hours
03:00:10 03:00:17  ah that is one of the f t c were tracking i think that was one of the ones marcus mentioned ah that is one on the green list
03:00:17 03:00:20  ah so weak will definitely be adding that
03:00:21 03:00:33  a tip and we're dressing more the softer things like a will and moral and it's impact on fighting we're fighting ability
03:00:34 03:00:44  that would be just an example but it is an example right so when you when you're depleted of fillin blank what should happen so that that would be an example of it
03:00:45 03:01:16  thanks and then third thing a trying to be quick so multiple stages of ore supplies so like pica scenario you have a ship ship is sustaining some force ashore but that ship itself will run out of supplies right so i'm out of my g p five that i can go provide i'm now waiting for replenishment at sea from it basically another another round of now that ship has to be replenished is there a limitation on that or is it a or no
03:01:16 03:01:42  i saw no limitations on that they be they that should function just exactly as you describe if we have other units that have been a tasked with re supplying the supply units if you will than that should work just find however we have not actually tried that yet a this is your literally coming up as of yesterday so we that's the next thing we're going to be trying is this multi level re supply and
03:01:42 03:01:45  i think what's even more challenging is the multi con nectary supply
03:01:46 03:01:50  in to get supplies from point eight to point b you might have to go by
03:01:50 03:01:58  you know by plane and then by ship and then by truck and so that that's probably can be the more challenging of the problem
03:01:58 03:02:07  i multi say no limitation but also haven't been tried so what i but wouldn't guarantee is there yet
03:02:08 03:02:44  you're delving dangerously into something i know something about to do at random questions things no perfect and the i think the question about the a a simulating fatigue and those kinds of effects i think i just looked up at f t c a that's that's going to hook right into the same kind of models we already do for competency and aggressiveness of full forces a suppression model that's effected by you know how how much someone gets suppressed depends on oh how aggressive they are competent they are that would just tie right into those models with a well now you're also hungry so
03:02:45 03:02:49  not as responsive and your competency defective competency goes
03:02:49 03:02:55  i know marcus is very excited about that topic so i'm sure he'll be giving us some very specific guidance on that
03:02:57 03:02:59  right thinks
03:03:03 03:03:09  marcus anything i missed no i don't think so lick i think he covered it well and we're at
03:03:13 03:03:14  and to lo
03:03:16 03:03:19  but right on time you ended right on time accordin o schedule lo
03:03:20 03:03:24  and i don't i don't want to keep on going as tyson said we're past seventeen hundred here
03:03:25 03:03:28  to chuck bison and buy from the government everything they want ad
03:03:30 03:03:41  this is shock so a very impressive demonstrations and great conversations i think ah there's a lot of great work being ah put forth so i appreciate the effort
03:03:42 03:03:47  that was great ola and marcus was also i thout that was great really was exciting
03:03:48 03:03:51  specially the supply yes
03:03:53 03:03:59  told you as twas for christian and and laura
03:04:00 03:04:08  all right guys if nothing else i'll go ahead and just end this shortly and abruptly and think they're ready for their time
03:04:09 03:04:21  i think e ja well not cutting mills on the way to it e set et set set set set set set cut et
